Symbol,Dividend,DividendPct,EPS,MarketCap,PE
A,0.48,0.9,2.69,17030000000.000002,19.16
AA,0.12,1.3,0.28,10230000000.0,34.76
AAIT,,,13.0,,
AAME,0.02,0.5,0.39,86090000.0,10.39
AAN,0.07,0.2,1.76,2160000000.0,16.13
AAOI,,,-0.35,149610000.0,
AAON,0.13,0.5,0.89,1010000000.0,30.93
AAP,0.24,0.2,5.31,7370000000.0,19.04
AAPL,12.2,2.3,40.11,481390000000.0,13.21
AAT,0.84,2.5,0.97,1370000000.0,34.99
AAV,,,-0.36,670160000.0,
AAWW,,,4.79,1250000000.0,10.35
AAXJ,,,12.0,,
AB,1.6,7.3,1.36,2049999999.9999998,16.36
ABAX,,,0.84,794730000.0,42.42
ABB,0.72,2.8,1.25,59260000000.0,20.66
ABBV,1.6,3.2,2.84,78350000000.0,17.43
ABC,0.84,1.3,2.3,15050000000.0,28.37
ABCB,,,0.87,448260000.0,21.5
ABCD,,,-2.07,62980000.0,
ABCO,,,0.6,2480000000.0,115.44
ABFS,0.12,0.4,-0.39,706800000.0,
ABG,,,3.37,1490000000.0,14.23
ABGB,,,0.05,18820000000.0,236.44
ABIO,,,-1.89,17080000.0,
ABM,0.6,2.1,1.37,1570000000.0,20.79
ABMD,,,0.26,817810000.0,84.41
ABR,0.52,7.4,0.34,300660000.0,20.74
ABT,0.88,2.4,1.89,57940000000.0,19.72
ABTL,,,0.18,73810000.0,45.8
ABV,1.1,2.8,1.65,122440000000.0,23.75
ABX,0.2,1.0,-10.18,20270000000.0,
ACAD,,,-0.34,2100000000.0,
ACAS,,,2.15,4099999999.9999995,6.59
ACAT,0.4,0.8,3.04,692610000.0,16.96
ACC,1.44,4.1,0.95,3640000000.0,36.52
ACCL,,,0.11,537240000.0,84.91
ACCO,,,0.35,816930000.0,20.84
ACE,2.04,2.1,10.24,32939999999.999996,9.36
ACET,0.24,1.5,0.81,458710000.0,20.17
ACFC,,,-2.22,9590000.0,
ACFN,0.14,3.5,-1.19,82490000.0,
ACG,0.41,5.8,0.18,1730000000.0,39.89
ACGL,,,4.51,7680000000.0,12.76
