Symbol,Company,GICS,GICSSubIndustry,HQ,DateAdded
A,Agilent Technologies Inc,Health Care,Health Care Equipment &amp; Services,"Santa Clara, California",
AA,Alcoa Inc,Materials,Aluminum,"New York, New York",
AAPL,Apple Inc.,Information Technology,Computer Hardware,"Cupertino, California",
ABBV,AbbVie,Health Care,Pharmaceuticals,"North Chicago, Illinois",2012-12-31
ABC,AmerisourceBergen Corp,Health Care,Health Care Distribution &amp; Services,"Chesterbrook, Pennsylvania",
ABT,Abbott Laboratories,Health Care,Health Care Equipment &amp; Services,"North Chicago, Illinois",
ACE,ACE Limited,Financials,Property &amp; Casualty Insurance,"Zurich, Switzerland",
ACN,Accenture plc,Information Technology,IT Consulting &amp; Services,"Dublin, Ireland",
ACT,Actavis plc,Health Care,Pharmaceuticals,"Parsippany, New Jersey",
ADBE,Adobe Systems Inc,Information Technology,Application Software,"San Jose, California",
ADI,"Analog Devices, Inc.",Information Technology,Semiconductors,"Norwood, Massachusetts",
ADM,Archer-Daniels-Midland Co,Consumer Staples,Agricultural Products,"Decatur, Illinois",
ADP,Automatic Data Processing,Information Technology,Internet Software &amp; Services,"Roseland, New Jersey",
ADSK,Autodesk Inc,Information Technology,Application Software,"San Rafael, California",
ADT,ADT Corp,Industrials,Diversified Commercial Services,"Boca Raton, Florida",2012-10-01
AEE,Ameren Corp,Utilities,Multi-Utilities &amp; Unregulated Power,"St. Louis, Missouri",
AEP,American Electric Power,Utilities,Electric Utilities,"Columbus, Ohio",
AES,AES Corp,Utilities,Electric Utilities,"Arlington, Virginia",
AET,Aetna Inc,Health Care,Managed Health Care,"Hartford, Connecticut",
AFL,AFLAC Inc,Financials,Life &amp; Health Insurance,"Columbus, Georgia",
AGN,Allergan Inc,Health Care,Pharmaceuticals,"Irvine, California",
AIG,American Intl Group Inc,Financials,Property &amp; Casualty Insurance,"New York, New York",
AIV,Apartment Investment &amp; Mgmt,Financials,REITs,"Denver, Colorado",
AIZ,Assurant Inc,Financials,Multi-line Insurance,"New York, New York",
AKAM,Akamai Technologies Inc,Information Technology,Internet Software &amp; Services,"Cambridge, Massachusetts",
ALL,Allstate Corp,Financials,Property &amp; Casualty Insurance,"Northfield Township, Illinois",
ALTR,Altera Corp,Information Technology,Semiconductors,"San Jose, California",
ALXN,Alexion Pharmaceuticals,Health Care,Biotechnology,"Cheshire, Connecticut",2012-05-24
AMAT,Applied Materials Inc,Information Technology,Semiconductor Equipment,"Santa Clara, California",
AME,Ametek,,,"Berwyn, Pennsylvania",
AMGN,Amgen Inc,Health Care,Biotechnology,"Thousand Oaks, California",
AMP,Ameriprise Financial,Financials,Diversified Financial Services,"Minneapolis, Minnesota",
AMT,American Tower Corp A,Financials,REITs,"Boston, Massachusetts",
AMZN,Amazon.com Inc,Consumer Discretionary,Internet Retail,"Seattle, Washington",
AN,AutoNation Inc,Consumer Discretionary,Specialty Stores,"Fort Lauderdale, Florida",
ANF,Abercrombie &amp; Fitch Company A,Consumer Discretionary,"Apparel, Accessories &amp; Luxury Goods","New Albany, Ohio",
AON,Aon plc,Financials,Insurance Brokers,London,
APA,Apache Corporation,Energy,Oil &amp; Gas Exploration &amp; Production,"Houston, Texas",
APC,Anadarko Petroleum Corp,Energy,Oil &amp; Gas Exploration &amp; Production,"The Woodlands, Texas",
APD,Air Products &amp; Chemicals Inc,Materials,Industrial Gases,"Allentown, Pennsylvania",
APH,Amphenol Corp A,Industrials,Electrical Components &amp; Equipment,"Wallingford, Connecticut",
ARG,Airgas Inc,Materials,Industrial Gases,"Radnor, Pennsylvania",
ATI,Allegheny Technologies Inc,Materials,Diversified Metals &amp; Mining,"Pittsburgh, Pennsylvania",
AVB,"AvalonBay Communities, Inc.",Financials,REITs,"Arlington, Virginia",
AVP,Avon Products,Consumer Staples,Personal Products,"New York, New York",
AVY,Avery Dennison Corp,Materials,,"Pasadena, California",
AXP,American Express Co,Financials,Consumer Finance,"New York, New York",
AZO,AutoZone Inc,Consumer Discretionary,Specialty Stores,"Memphis, Tennessee",
BA,Boeing Company,Industrials,Aerospace &amp; Defense,"Chicago, Illinois",
BAC,Bank of America Corp,Financials,Banks,"Charlotte, North Carolina",
BAX,Baxter International Inc.,Health Care,Health Care Equipment &amp; Services,"Deerfield, Illinois",
BBBY,Bed Bath &amp; Beyond,Consumer Discretionary,Specialty Stores,"Union, New Jersey",
BBT,BB&amp;T Corporation,Financials,Banks,"Winston-Salem, North Carolina",
BBY,Best Buy Co. Inc.,Consumer Discretionary,Computer &amp; Electronics Retail,"Richfield, Minnesota",
BCR,Bard (C.R.) Inc.,Health Care,Health Care Equipment &amp; Services,"Murray Hill, New Jersey",
BDX,Becton Dickinson,Health Care,Health Care Equipment &amp; Services,"Franklin Lakes, New Jersey",
BEAM,Beam Inc.,Consumer Staples,Distillers &amp; Vintners,"Deerfield, Illinois",
BEN,Franklin Resources,Financials,Diversified Financial Services,"San Mateo, California",
BF.B,Brown-Forman Corporation,Consumer Staples,Distillers &amp; Vintners,"Louisville, Kentucky",
BHI,Baker Hughes Inc,Energy,Oil &amp; Gas Equipment &amp; Services,"Houston, Texas",
BIIB,BIOGEN IDEC Inc.,Health Care,Biotechnology,"Weston, Massachusetts",
BK,The Bank of New York Mellon Corp.,Financials,Banks,"New York, New York",
BLK,BlackRock,Financials,Diversified Financial Services,"New York, New York",
BLL,Ball Corp,Materials,Metal &amp; Glass Containers,"Broomfield, Colorado",
BMS,Bemis Company,Materials,Paper Packaging,"Neenah, Wisconsin",
BMY,Bristol-Myers Squibb,Health Care,Health Care Distributors &amp; Services,"New York, New York",
BRCM,Broadcom Corporation,Information Technology,Semiconductors,"Irvine, California",
BRK.B,Berkshire Hathaway,Financials,Multi-Sector Holdings,"Omaha, Nebraska",
BSX,Boston Scientific,Health Care,Health Care Equipment &amp; Services,"Natick, Massachusetts",
BTU,Peabody Energy,Energy,Oil &amp; Gas Exploration &amp; Production,"St. Louis, Missouri",
BWA,BorgWarner,Consumer Discretionary,Auto Parts &amp; Equipment,"Auburn Hills, Michigan",2011-12-16
BXP,Boston Properties,Financials,REITs,"Boston, Massachusetts",
C,Citigroup Inc.,Financials,Banks,"New York, New York",
CA,"CA, Inc.",Information Technology,Systems Software,"Islandia, New York",
CAG,ConAgra Foods Inc.,Consumer Staples,Packaged Foods &amp; Meats,"Omaha, Nebraska",
CAH,Cardinal Health Inc.,Health Care,Health Care Distributors &amp; Services,"Dublin, Ohio",
CAM,Cameron International Corp.,Energy,Oil &amp; Gas Equipment &amp; Services,"Houston, Texas",
CAT,Caterpillar Inc.,Industrials,Construction &amp; Farm Machinery &amp; Heavy Trucks,"Peoria, Illinois",
CB,Chubb Corp.,Financials,Property &amp; Casualty Insurance,"Warren, New Jersey",
CBG,CBRE Group,Financials,Real Estate Management &amp; Development,"Los Angeles, California",
CBS,CBS Corp.,Consumer Discretionary,Broadcasting &amp; Cable TV,"New York, New York",
CCE,Coca-Cola Enterprises,Consumer Staples,Soft Drinks,"Atlanta, Georgia",
CCI,Crown Castle International Corp.,Telecommunications Services,Wireless Telecommunications Services,"Houston, Texas",
CCL,Carnival Corp.,Consumer Discretionary,"Hotels, Resorts &amp; Cruise Lines","Miami, Florida",
CELG,Celgene Corp.,Health Care,Biotechnology,"Summit, New Jersey",
CERN,Cerner,Health Care,Health Care Distributors &amp; Services,"North Kansas City, Missouri",
CF,CF Industries Holdings Inc,Materials,Fertilizers &amp; Agricultural Chemicals,"Deerfield, Illinois",
CFN,Carefusion,Health Care,Health Care Equipment &amp; Services,"San Diego, California",
CHK,Chesapeake Energy,Energy,Integrated Oil &amp; Gas,"Oklahoma City, Oklahoma",
CHRW,C. H. Robinson Worldwide,Industrials,Air Freight &amp; Logistics,"Eden Prairie, Minnesota",
CI,CIGNA Corp.,Health Care,Managed Health Care,"Philadelphia, Pennsylvania",
CINF,Cincinnati Financial,Financials,Property &amp; Casualty Insurance,"Fairfield, Ohio",
CL,Colgate-Palmolive,Consumer Staples,Household Products,"New York, New York",
CLF,Cliffs Natural Resources,Materials,Diversified Metals &amp; Mining,"Cleveland, Ohio",
CLX,The Clorox Company,Consumer Staples,Household Products,"Oakland, California",
CMA,Comerica Inc.,Financials,Banks,"Dallas, Texas",
CMCSA,Comcast Corp.,Consumer Discretionary,Broadcasting &amp; Cable TV,"Philadelphia, Pennsylvania",
CME,CME Group Inc.,Financials,Diversified Financial Services,"Chicago, Illinois",
CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants,"Denver, Colorado",
CMI,Cummins Inc.,Industrials,Industrial Machinery,"Columbus, Indiana",
CMS,CMS Energy,Utilities,Multi-Utilities &amp; Unregulated Power,"Jackson, Michigan",
CNP,CenterPoint Energy,Utilities,Multi-Utilities &amp; Unregulated Power,"Houston, Texas",
CNX,CONSOL Energy Inc.,Energy,Oil &amp; Gas Exploration &amp; Production,"Cecil Township, Pennsylvania",
COF,Capital One Financial,Financials,Consumer Finance,"Tysons Corner, Virginia",
COG,Cabot Oil &amp; Gas,Energy,Oil &amp; Gas Exploration &amp; Production,"Houston, Texas",
COH,Coach Inc.,Consumer Discretionary,"Apparel, Accessories &amp; Luxury Goods","New York, New York",
COL,Rockwell Collins,Industrials,Industrial Conglomerates,"Cedar Rapids, Iowa",
COP,ConocoPhillips,Energy,Integrated Oil &amp; Gas,"Houston, Texas",
